title_clean,tmdb_movieId,movieLens_movieId
Avatar,19995,72998
Pirates of the caribbean: at world's end,285,53125
John carter,49529,93363
Spider-man 3,559,52722
Avengers: age of ultron,99861,122892
Harry potter and the half-blood prince,767,69844
Batman v superman: dawn of justice,209112,136864
Superman returns,1452,46530
Quantum of solace,10764,63113
Pirates of the caribbean: dead man's chest,58,45722
The lone ranger,57201,121693
Man of steel,49521,103042
Pirates of the caribbean: on stranger tides,1865,86880
The hobbit: the battle of the five armies,122917,118696
Captain america: civil war,271110,122920
Battleship,44833,94018
Jurassic world,135397,117529
Skyfall,37724,96079
Spider-man 2,558,8636
Iron man 3,68721,102125
X-men: the last stand,36668,45499
Monsters university,62211,103141
Transformers: revenge of the fallen,8373,69526
Transformers: age of extinction,91314,112370
The amazing spider-man 2,102382,110553
Tron: legacy,20526,82461
Cars 2,49013,87876
Green lantern,44912,87430
Toy story 3,10193,78499
Terminator salvation,534,68791
Furious 7,168259,130634
World war z,72190,103249
X-men: days of future past,127585,111362
Star trek into darkness,54138,102445
Jack the giant slayer,81005,101025
The great gatsby,64682,121618
Prince of persia: the sands of time,9543,78105
Pacific rim,68726,103228
Transformers: dark of the moon,38356,87520
Indiana jones and the kingdom of the crystal skull,217,59615
The good dinosaur,105864,136016
Star trek beyond,188927,135569
Wall·e,10681,60069
Rush hour 3,5174,54648
2012,14161,72378
Jupiter ascending,76757,113345
The legend of tarzan,258489,160563
"The chronicles of narnia: the lion, the witch and the wardrobe",411,185231
X-men: apocalypse,246655,122924
The dark knight,155,130219
Up,14160,68954
Hugo,44826,90866
Wild wild west,8487,2701
Suicide squad,297761,135536
Evan almighty,2698,53993
Edge of tomorrow,137113,111759
Waterworld,9804,208
G.i. joe: the rise of cobra,14869,70336
The jungle book,278927,137857
Iron man 2,10138,77561
Snow white and the huntsman,58595,94780
Maleficent,102651,111659
Dawn of the planet of the apes,119450,112623
47 ronin,64686,106491
Captain america: the winter soldier,100402,110102
Tomorrowland,158852,132046
Big hero 6,177572,115617
Wreck-it ralph,82690,97913
Independence day: resurgence,47933,135567
How to train your dragon,10191,76093
Terminator 3: rise of the machines,296,6537
Guardians of the galaxy,118340,112852
Interstellar,157336,109487
Inception,27205,79132
Shin godzilla,315011,163056
X-men: first class,49538,87232
The hunger games: mockingjay - part 2,131634,135133
The sorcerer's apprentice,27022,172411
Poseidon,503,45442
Shrek the third,810,53121
Warcraft,68735,122890
Terminator genisys,87101,120799
Pearl harbor,676,4310
Transformers,1858,53996
Alexander,1966,8977
Harry potter and the order of the phoenix,675,54001
Harry potter and the goblet of fire,674,40815
Hancock,8960,60074
I am legend,6479,56174
Charlie and the chocolate factory,118,30793
Ratatouille,2062,50872
Batman begins,272,33794
Madagascar: escape 2 africa,10527,62999
Night at the museum: battle of the smithsonian,18360,68793
X-men origins: wolverine,2080,68319
Thor: the dark world,76338,106072
Mad max: fury road,76341,122882
Angels & demons,13448,68554
Thor,10195,86332
G-force,19585,70697
Wrath of the titans,57165,93766
Dark shadows,62213,94478
Mission: impossible - rogue nation,177677,111781
Bee movie,5559,55768
Kung fu panda 2,49444,87222
Mission: impossible iii,956,45186
White house down,117251,103339
Mars needs moms,50321,85261
Flushed away,11619,48982
Mr. peabody & sherman,82703,109846
Troy,652,7458
Madagascar 3: europe's most wanted,80321,95105
Die another day,36669,5872
Ghostbusters,43074,160080
Armageddon,95,1917
Kung fu panda 3,140300,149406
Mission: impossible - ghost protocol,56292,91630
Rise of the guardians,81188,98243
Exodus: gods and kings,147441,116887
Star trek,13475,68358
Spider-man,557,5349
How to train your dragon 2,82702,112175
Gods of egypt,205584,152063
Stealth,10048,34334
Watchmen,13183,60684
Lethal weapon 4,944,1918
Hulk,1927,6534
G.i. joe: retaliation,72559,101076
Final fantasy: the spirits within,2114,4446
Captain america: the first avenger,1771,88140
Master and commander: the far side of the world,8619,6947
Happy feet two,65759,91386
The revenant,281957,139385
Turbo,77950,103755
Rango,44896,84944
Penguins of madagascar,270946,117851
Kung fu panda,9502,59784
Ant-man,102899,122900
The hunger games: catching fire,101299,106487
Bad boys ii,8961,6548
Salt,27576,79293
Harry potter and the prisoner of azkaban,673,8368
Australia,6972,63853
After earth,82700,102880
Dinosaur,10567,3615
Night at the museum: secret of the tomb,181533,119155
Megamind,38055,81564
R.i.p.d.,49524,103655
Pirates of the caribbean: the curse of the black pearl,22,6539
The hunger games: mockingjay - part 1,131631,116823
Rio 2,172385,110655
Sherlock holmes: a game of shadows,58574,91542
Batman & robin,415,1562
Mission: impossible ii,955,3623
Life of pi,87827,97938
Ghost rider,1250,51077
Jason bourne,324668,160438
Charlie's angels: full throttle,9471,6503
Prometheus,70981,94864
Stuart little 2,10996,5480
Elysium,68724,103253
Speed racer,7459,59037
How do you know,42888,82499
Knight and day,37834,79185
Star wars: episode iii - revenge of the sith,1895,33493
Star wars: episode ii - attack of the clones,1894,5378
"Monsters, inc.",585,4886
Star wars: episode i - the phantom menace,1893,2628
Windtalkers,12100,5420
Gravity,49047,104841
Dante's peak,9619,1438
Teenage mutant ninja turtles: out of the shadows,308531,159690
Night at the museum,1593,46972
San andreas,254128,132796
Tomorrow never dies,714,1722
Ocean's twelve,163,8984
Insurgent,262500,130490
The green hornet,40805,124039
300: rise of an empire,53182,109673
Home on the range,13700,7374
Real steel,39254,90249
Speed 2: cruise control,1639,1556
Ender's game,80274,106002
Live free or die hard,1571,53972
Ali,8489,5009
"I, robot",2048,8644
Kingdom of heaven,1495,33162
Stuart little,10137,3157
The martian,286217,134130
Town & country,24113,4268
Minority report,180,5445
Harry potter and the chamber of secrets,672,5816
Terminator 2: judgment day,280,589
American gangster,4982,55765
True lies,36955,380
Little fockers,39451,82852
Eraser,9268,786
Django unchained,68718,99114
National treasure,2059,8972
Eragon,2486,49649
Where the wild things are,16523,71745
Epic,116711,102720
End of days,9946,3113
Blood diamond,1372,49530
Batman forever,414,153
Starship troopers,563,1676
Cloud atlas,83542,97752
Legend of the guardians: the owls of ga'hoole,41216,80615
Catwoman,314,8666
Treasure planet,9016,5882
Land of the lost,18162,69278
