movie_id,budget,homepage,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,title,vote_average,vote_count,overview_clean,genres_clean,cast_clean,crew_clean,keywords_clean,original_language_full
19995,237000000,http://www.avatarmovie.com/,Avatar,150.437577,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}]",2009-12-10,2787965087,162.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Enter the World of Pandora.,Avatar,7.2,11800,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization."," Fantasy, Science Fiction, Action, Adventure"," Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",Director: James Cameron," space war, future, love affair, culture clash, romance, space, space travel, soldier, space colony, power relations, mind and soul, society, battle, tribe, marine, futuristic, alien, 3d, cgi, anti war, alien planet",English
285,300000000,http://disney.go.com/disneypictures/pirates/,Pirates of the Caribbean: At World's End,139.082615,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-05-19,961000000,169.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems."," Fantasy, Action, Adventure"," Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård",Director: Gore Verbinski," ocean, alliance, afterlife, traitor, east india trading company, love of one's life, drug abuse, ship, fighter, calypso, strong woman, shipwreck, aftercreditsstinger, swashbuckler, pirate, exotic island",English
49529,260000000,http://movies.disney.com/john-carter,John Carter,43.926995,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2012-03-07,284139100,132.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Lost in our world, found in another.",John Carter,6.1,2124,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands."," Science Fiction, Action, Adventure"," Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe",Director: Andrew Stanton," mars civilization, alien, medallion, superhuman strength, 3d, steampunk, 19th century, alien race, martian, space travel, edgar rice burroughs, sword and planet, based on novel, escape, mars, princess",English
559,258000000,http://www.sonypictures.com/movies/spider-man3/,Spider-Man 3,115.699814,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2007-05-01,890871626,139.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",The battle within.,Spider-Man 3,5.9,3576,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle."," Fantasy, Action, Adventure"," Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church",Director: Sam Raimi," sand, amnesia, death of a friend, egomania, marvel comic, superhero, love of one's life, hostility, wretch, narcism, sequel, forgiveness, sandstorm, revenge, spider, dual identity",English
99861,280000000,http://marvel.com/movies/movie/193/avengers_age_of_ultron,Avengers: Age of Ultron,134.279229,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2015-04-22,1405403694,141.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",A New Age Has Come.,Avengers: Age of Ultron,7.3,6767,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure."," Science Fiction, Action, Adventure"," Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",Director: Joss Whedon," superhero team, superhero, vision, 3d, duringcreditsstinger, based on comic book, sequel, marvel cinematic universe, marvel comic",English
767,250000000,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,Harry Potter and the Half-Blood Prince,98.885637,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2009-07-07,933959197,153.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past."," Fantasy, Family, Adventure"," Daniel Radcliffe, Rupert Grint, Emma Watson, Tom Felton",Director: David Yates," werewolf, apparition, witch, magic, school of witchcraft, wizardry, teenage crush, broom",English
209112,250000000,http://www.batmanvsupermandawnofjustice.com/,Batman v Superman: Dawn of Justice,155.790452,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2016-03-23,873260194,151.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before."," Fantasy, Action, Adventure"," Ben Affleck, Henry Cavill, Gal Gadot, Amy Adams",Director: Zack Snyder," dc extended universe, superhero, bruce wayne, based on comic book, dc comics, clark kent, super powers, vigilante, revenge",English
1452,270000000,http://www.superman.com,Superman Returns,57.925623,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Bad Hat Harry Productions"", ""id"": 9168}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2006-06-28,391081192,154.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]", ,Superman Returns,5.4,1400,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel."," Fantasy, Science Fiction, Action, Adventure"," Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden",Director: Bryan Singer," lex luthor, saving the world, kryptonite, superhero, superhuman strength, based on comic book, invulnerability, dc comics, sequel, super powers",English
10764,200000000,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,Quantum of Solace,107.928811,"[{""name"": ""Eon Productions"", ""id"": 7576}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",2008-10-30,586090727,106.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]","For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined."," Thriller, Crime, Action, Adventure"," Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench",Director: Marc Forster," secret agent, undercover, british secret service, killing",English
58,200000000,http://disney.go.com/disneypictures/pirates/,Pirates of the Caribbean: Dead Man's Chest,145.847379,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]","[{""iso_3166_1"": ""JM"", ""name"": ""Jamaica""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""BS"", ""name"": ""Bahamas""}, {""iso_3166_1"": ""DM"", ""name"": ""Dominica""}]",2006-06-20,1065659812,151.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""tr"", ""name"": ""T\u00fcrk\u00e7e""}, {""iso_639_1"": ""el"", ""name"": ""\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac""}, {""iso_639_1"": ""zh"", ""name"": ""\u666e\u901a\u8bdd""}]",Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation."," Fantasy, Action, Adventure"," Johnny Depp, Orlando Bloom, Keira Knightley, Stellan Skarsgård",Director: Gore Verbinski," card game, east india trading company, daughter, witch, compass, ship, aftercreditsstinger, monster, captain, swashbuckler, pirate, exotic island, fortune teller, bondage",English
